customer_id,name,age,purchase_amount,date,loyalty_member,year,month,day_of_week,day_name,quarter,age_group,purchase_category,age_scaled,purchase_amount_scaled,category_Books,category_Clothing,category_Electronics,category_Food
1,Customer_1,56.0,173.61,2024-01-01,False,2024,1,0,Monday,1,51+,Medium,0.8554706990121987,-1.1456731703986465,True,False,False,False
2,Customer_2,69.0,25.48,2024-01-02,False,2024,1,1,Tuesday,1,51+,Low,1.743738996708571,-1.7037950509973476,False,False,True,False
3,Customer_3,46.0,429.17,2024-01-03,False,2024,1,2,Wednesday,1,36-50,High,0.17218739309191236,-0.18277822807903477,False,False,False,True
4,Customer_4,32.0,400.93,2024-01-04,True,2024,1,3,Thursday,1,26-35,High,-0.7844092351964885,-0.2891804552315854,True,False,False,False
5,Customer_5,60.0,300.55,2024-01-05,True,2024,1,4,Friday,1,51+,High,1.1287840213803133,-0.6673906380068343,True,False,False,False
6,Customer_6,42.0,23.94,2024-01-06,True,2024,1,5,Saturday,1,36-50,Low,-0.10112592927620216,-1.7095974387386694,False,False,False,True
7,Customer_7,42.0,206.85,2024-01-07,False,2024,1,6,Sunday,1,36-50,Medium,-0.10112592927620216,-1.020432022008038,True,False,False,False
8,Customer_8,42.0,714.23,2024-01-08,True,2024,1,0,Monday,1,36-50,Very High,-0.10112592927620216,0.8912663495451181,False,False,False,True
9,Customer_9,42.0,792.27,2024-01-09,False,2024,1,1,Tuesday,1,36-50,Very High,-0.10112592927620216,1.1853042322287244,False,True,False,False
10,Customer_10,40.0,609.9,2024-01-10,False,2024,1,2,Wednesday,1,36-50,Very High,-0.23778259046025943,0.4981734189918033,False,False,False,True
11,Customer_11,28.0,927.04,2024-01-11,True,2024,1,3,Thursday,1,26-35,Very High,-1.057722557564603,1.6930885152793351,False,False,False,True
12,Customer_12,28.0,654.57,2024-01-12,True,2024,1,4,Friday,1,26-35,Very High,-1.057722557564603,0.6664803413326121,False,False,False,True
13,Customer_13,41.0,915.81,2024-01-13,False,2024,1,5,Saturday,1,36-50,Very High,-0.1694542598682308,1.6507762981786571,True,False,False,False
14,Customer_14,53.0,851.54,2024-01-14,True,2024,1,6,Sunday,1,51+,Very High,0.6504857072361128,1.4086208045846618,True,False,False,False
